@RELATION input4

@ATTRIBUTE Step1-0	NUMERIC
@ATTRIBUTE Step2-0 NUMERIC
@ATTRIBUTE Step3-0 NUMERIC
@ATTRIBUTE Step4-0 NUMERIC
@ATTRIBUTE Step5-0 NUMERIC
@ATTRIBUTE Step1-45 NUMERIC
@ATTRIBUTE Step2-45 NUMERIC
@ATTRIBUTE Step3-45 NUMERIC
@ATTRIBUTE Step4-45 NUMERIC
@ATTRIBUTE Step5-45 NUMERIC
@ATTRIBUTE Step1-90 NUMERIC
@ATTRIBUTE Step2-90 NUMERIC
@ATTRIBUTE Step3-90 NUMERIC
@ATTRIBUTE Step4-90 NUMERIC
@ATTRIBUTE Step5-90 NUMERIC
@ATTRIBUTE Step1-135 NUMERIC
@ATTRIBUTE Step2-135 NUMERIC
@ATTRIBUTE Step3-135 NUMERIC
@ATTRIBUTE Step4-135 NUMERIC
@ATTRIBUTE Step5-135 NUMERIC
@ATTRIBUTE Var1-0	NUMERIC
@ATTRIBUTE Var2-0	NUMERIC
@ATTRIBUTE Var3-0 NUMERIC	
@ATTRIBUTE Var4-0	NUMERIC
@ATTRIBUTE Var5-0	NUMERIC
@ATTRIBUTE Var1-45	NUMERIC
@ATTRIBUTE Var2-45	NUMERIC
@ATTRIBUTE Var3-45	NUMERIC
@ATTRIBUTE Var4-45	NUMERIC
@ATTRIBUTE Var5-45	NUMERIC
@ATTRIBUTE Var1-90	NUMERIC
@ATTRIBUTE Var2-90	NUMERIC
@ATTRIBUTE Var3-90	NUMERIC
@ATTRIBUTE Var4-90	NUMERIC
@ATTRIBUTE Var5-90	NUMERIC
@ATTRIBUTE Var1-135 NUMERIC
@ATTRIBUTE Var2-135 NUMERIC
@ATTRIBUTE Var3-135 NUMERIC
@ATTRIBUTE Var4-135 NUMERIC
@ATTRIBUTE Var5-135 NUMERIC
@ATTRIBUTE Ent1-0	NUMERIC
@ATTRIBUTE Ent2-0	NUMERIC
@ATTRIBUTE Ent3-0	NUMERIC
@ATTRIBUTE Ent4-0	NUMERIC
@ATTRIBUTE Ent5-0 NUMERIC	
@ATTRIBUTE Ent1-45	NUMERIC
@ATTRIBUTE Ent2-45	NUMERIC
@ATTRIBUTE Ent3-45	NUMERIC
@ATTRIBUTE Ent4-45	NUMERIC
@ATTRIBUTE Ent5-45	NUMERIC
@ATTRIBUTE Ent1-90	NUMERIC
@ATTRIBUTE Ent2-90	NUMERIC
@ATTRIBUTE Ent3-90	NUMERIC
@ATTRIBUTE Ent4-90	NUMERIC
@ATTRIBUTE Ent5-90	NUMERIC
@ATTRIBUTE Ent1-135 NUMERIC
@ATTRIBUTE Ent2-135 NUMERIC
@ATTRIBUTE Ent3-135 NUMERIC
@ATTRIBUTE Ent4-135 NUMERIC
@ATTRIBUTE Ent5-135 NUMERIC
@ATTRIBUTE Enrgy1-0 NUMERIC
@ATTRIBUTE Enrgy2-0 NUMERIC
@ATTRIBUTE Enrgy3-0 NUMERIC
@ATTRIBUTE Enrgy4-0 NUMERIC
@ATTRIBUTE Enrgy5-0 NUMERIC
@ATTRIBUTE Enrgy1-45 NUMERIC
@ATTRIBUTE Enrgy2-45 NUMERIC
@ATTRIBUTE Enrgy3-45 NUMERIC
@ATTRIBUTE Enrgy4-45 NUMERIC	
@ATTRIBUTE Enrgy5-45 NUMERIC	
@ATTRIBUTE Enrgy1-90 NUMERIC
@ATTRIBUTE Enrgy2-90 NUMERIC
@ATTRIBUTE Enrgy3-9 NUMERIC
@ATTRIBUTE Enrgy4-90 NUMERIC	
@ATTRIBUTE Enrgy5-90 NUMERIC
@ATTRIBUTE Enrgy1-135 NUMERIC
@ATTRIBUTE Enrgy2-135 NUMERIC	
@ATTRIBUTE Enrgy3-135 NUMERIC
@ATTRIBUTE Enrgy4-135 NUMERIC
@ATTRIBUTE Enrgy5-135 NUMERIC
@ATTRIBUTE Hom1-0	NUMERIC
@ATTRIBUTE Hom2-0	NUMERIC
@ATTRIBUTE Hom3-0	NUMERIC
@ATTRIBUTE Hom4-0	NUMERIC
@ATTRIBUTE Hom5-0	NUMERIC
@ATTRIBUTE Hom1-45	NUMERIC
@ATTRIBUTE Hom2-45	NUMERIC
@ATTRIBUTE Hom3-45	NUMERIC
@ATTRIBUTE Hom4-45	NUMERIC
@ATTRIBUTE Hom5-45	NUMERIC
@ATTRIBUTE Hom1-90	NUMERIC
@ATTRIBUTE Hom2-90	NUMERIC
@ATTRIBUTE Hom3-90	NUMERIC
@ATTRIBUTE Hom4-90 NUMERIC
@ATTRIBUTE Hom5-90	NUMERIC
@ATTRIBUTE Hom1-135 NUMERIC
@ATTRIBUTE Hom2-135 NUMERIC
@ATTRIBUTE Hom3-135 NUMERIC	
@ATTRIBUTE Hom4-135 NUMERIC
@ATTRIBUTE Hom5-135 NUMERIC	
@ATTRIBUTE Mom1-0	NUMERIC
@ATTRIBUTE Mom2-0	NUMERIC
@ATTRIBUTE Mom3-0	NUMERIC
@ATTRIBUTE Mom4-0	NUMERIC
@ATTRIBUTE Mom5-0	NUMERIC
@ATTRIBUTE Mom1-45	NUMERIC
@ATTRIBUTE Mom2-45	NUMERIC
@ATTRIBUTE Mom3-45	NUMERIC
@ATTRIBUTE Mom4-45	NUMERIC
@ATTRIBUTE Mom5-45	NUMERIC
@ATTRIBUTE Mom1-90	NUMERIC
@ATTRIBUTE Mom2-90 NUMERIC
@ATTRIBUTE Mom3-90	NUMERIC
@ATTRIBUTE Mom4-90	NUMERIC
@ATTRIBUTE Mom5-90	NUMERIC
@ATTRIBUTE Mom1-135 NUMERIC
@ATTRIBUTE Mom2-135 NUMERIC	
@ATTRIBUTE Mom3-135 NUMERIC
@ATTRIBUTE Mom4-135 NUMERIC
@ATTRIBUTE Mom5-135 NUMERIC
@ATTRIBUTE Inv1-0	NUMERIC
@ATTRIBUTE Inv2-0	NUMERIC
@ATTRIBUTE Inv3-0	NUMERIC
@ATTRIBUTE Inv4-0	NUMERIC
@ATTRIBUTE Inv5-0	NUMERIC
@ATTRIBUTE Inv1-45	NUMERIC
@ATTRIBUTE Inv2-45	NUMERIC
@ATTRIBUTE Inv3-45	NUMERIC
@ATTRIBUTE Inv4-45	NUMERIC
@ATTRIBUTE Inv5-45	NUMERIC
@ATTRIBUTE Inv1-90	NUMERIC
@ATTRIBUTE Inv2-90	NUMERIC
@ATTRIBUTE Inv3-90	NUMERIC
@ATTRIBUTE Inv4-90	NUMERIC
@ATTRIBUTE Inv5-90	NUMERIC
@ATTRIBUTE Inv1-135	NUMERIC
@ATTRIBUTE Inv2-135 NUMERIC
@ATTRIBUTE Inv3-135 NUMERIC
@ATTRIBUTE Inv4-135 NUMERIC
@ATTRIBUTE Inv5-135 NUMERIC
@ATTRIBUTE Class {3,4,5,1}

@DATA

261632.00,	261120.00,	260608.00,	260096.00,	259584.00,	261121.00,	260100.00,	259081.00,	258064.00,	257049.00,	261632.00,	261120.00,	260608.00,	260096.00,	259584.00,	261121.00,	260100.00,	259081.00,	258064.00,	257049.00,	0.15,	0.27,	0.35,	0.41,	0.47,	0.19,	0.32,	0.40,	0.46,	0.52,	0.12,	0.21,	0.26,	0.30,	0.33,	0.17,	0.28,	0.34,	0.39,	0.44,	0.55,	0.68,	0.72,	0.75,	0.78,	0.61,	0.70,	0.74,	0.78,	0.79,	0.53,	0.63,	0.67,	0.70,	0.71,	0.57,	0.68,	0.70,	0.74,	0.74,	0.14,	0.11,	0.10,	0.09,	0.08,	0.13,	0.10,	0.09,	0.08,	0.08,	0.15,	0.13,	0.11,	0.11,	0.10,	0.14,	0.11,	0.10,	0.09,	0.09,	0.93,	0.87,	0.83,	0.81,	0.79,	0.90,	0.85,	0.81,	0.79,	0.78,	0.94,	0.90,	0.87,	0.85,	0.84,	0.91,	0.86,	0.84,	0.82,	0.80,	1189.00,	2335.00,	3765.00,	5820.00,	8221.00,	-371.00,	-732.00,	-1191.00,	-1135.00,	-709.00,	-1493.00,	-3045.00,	-4830.00,	-6579.00,	-8512.00,	-2651.00,	-5506.00,	-8869.00,	-12877.00,	-17596.00,	38948.00,	68964.86,	86665.53,	96442.64,	103140.94,	38948.00,	68964.86,	86665.53,	96442.64,	103140.94,	38948.00,	68964.86,	86665.53,	96442.64,	103140.94,	38948.00,	68964.86,	86665.53,	96442.64,	103140.94,	3
261632.00,	261120.00,	260608.00,	260096.00,	259584.00,	261121.00,	260100.00,	259081.00,	258064.00,	257049.00,	261632.00,	261120.00,	260608.00,	260096.00,	259584.00,	261121.00,	260100.00,	259081.00,	258064.00,	257049.00,	0.11,	0.21,	0.27,	0.32,	0.37,	0.14,	0.23,	0.29,	0.35,	0.40,	0.09,	0.15,	0.20,	0.24,	0.27,	0.14,	0.24,	0.29,	0.34,	0.38,	0.50,	0.58,	0.61,	0.62,	0.63,	0.50,	0.59,	0.61,	0.63,	0.65,	0.50,	0.50,	0.55,	0.60,	0.61,	0.50,	0.58,	0.62,	0.65,	0.65,	0.16,	0.13,	0.11,	0.11,	0.10,	0.15,	0.12,	0.11,	0.10,	0.09,	0.17,	0.14,	0.13,	0.12,	0.12,	0.15,	0.12,	0.11,	0.10,	0.10,	0.94,	0.90,	0.86,	0.84,	0.82,	0.93,	0.88,	0.86,	0.83,	0.81,	0.96,	0.92,	0.90,	0.88,	0.87,	0.93,	0.88,	0.86,	0.84,	0.82,	-298.00,	-578.00,	-887.00,	-1266.00,	-1490.00,	-103.00,	-44.00,	50.00,	-396.00,	-1603.00,	196.00,	412.00,	666.00,	1133.00,	1802.00,	493.00,	1049.00,	1546.00,	2032.00,	2656.00,	30012.00,	54307.50,	70526.75,	81331.75,	89688.94,	30012.00,	54307.50,	70526.75,	81331.75,	89688.94,	30012.00,	54307.50,	70526.75,	81331.75,	89688.94,	30012.00,	54307.50,	70526.75,	81331.75,	89688.94,	3
261632.00,	261120.00,	260608.00,	260096.00,	259584.00,	261121.00,	260100.00,	259081.00,	258064.00,	257049.00,	261632.00,	261120.00,	260608.00,	260096.00,	259584.00,	261121.00,	260100.00,	259081.00,	258064.00,	257049.00,	0.04,	0.09,	0.12,	0.14,	0.16,	0.08,	0.16,	0.22,	0.29,	0.36,	0.07,	0.13,	0.20,	0.27,	0.34,	0.08,	0.16,	0.23,	0.30,	0.38,	0.57,	0.59,	0.63,	0.66,	0.69,	0.62,	0.74,	0.78,	0.82,	0.86,	0.62,	0.73,	0.78,	0.82,	0.85,	0.64,	0.74,	0.80,	0.83,	0.86,	0.26,	0.24,	0.23,	0.22,	0.21,	0.25,	0.23,	0.21,	0.20,	0.19,	0.26,	0.24,	0.22,	0.21,	0.20,	0.25,	0.23,	0.21,	0.20,	0.19,	0.98,	0.96,	0.94,	0.93,	0.92,	0.96,	0.93,	0.90,	0.89,	0.87,	0.97,	0.94,	0.92,	0.90,	0.88,	0.96,	0.93,	0.90,	0.89,	0.87,	-307.00,	-634.00,	-913.00,	-1199.00,	-1420.00,	-4825.00,	-12861.00,	-27546.00,	-49418.00,	-79417.00,	-4478.00,	-12115.00,	-26057.00,	-47441.00,	-77783.00,	-4174.00,	-12231.00,	-26605.00,	-49074.00,	-79768.00,	11755.00,	22441.50,	30414.50,	36737.61,	41709.97,	11755.00,	22441.50,	30414.50,	36737.61,	41709.97,	11755.00,	22441.50,	30414.50,	36737.61,	41709.97,	11755.00,	22441.50,	30414.50,	36737.61,	41709.97,	3
261632.00,	261120.00,	260608.00,	260096.00,	259584.00,	261121.00,	260100.00,	259081.00,	258064.00,	257049.00,	261632.00,	261120.00,	260608.00,	260096.00,	259584.00,	261121.00,	260100.00,	259081.00,	258064.00,	257049.00,	0.12,	0.23,	0.31,	0.37,	0.43,	0.15,	0.25,	0.33,	0.40,	0.47,	0.10,	0.19,	0.26,	0.32,	0.38,	0.16,	0.29,	0.39,	0.47,	0.54,	0.79,	0.93,	0.97,	0.97,	0.97,	0.85,	0.95,	0.97,	0.98,	0.98,	0.80,	0.93,	0.96,	0.97,	0.97,	0.86,	0.95,	0.97,	0.98,	0.98,	0.11,	0.09,	0.08,	0.07,	0.07,	0.11,	0.09,	0.08,	0.07,	0.07,	0.12,	0.10,	0.09,	0.08,	0.07,	0.10,	0.08,	0.07,	0.06,	0.06,	0.94,	0.89,	0.86,	0.83,	0.81,	0.93,	0.88,	0.85,	0.82,	0.80,	0.95,	0.91,	0.88,	0.85,	0.84,	0.92,	0.86,	0.83,	0.80,	0.79,	380.00,	113.00,	-643.00,	-916.00,	-1123.00,	-195.00,	-2241.00,	-4829.00,	-6570.00,	-8305.00,	-143.00,	-176.00,	-1337.00,	-4204.00,	-8145.00,	-376.00,	-721.00,	-3803.00,	-9912.00,	-18664.00,	31194.33,	56352.86,	73534.18,	84920.90,	93067.29,	31194.33,	56352.86,	73534.18,	84920.90,	93067.29,	31194.33,	56352.86,	73534.18,	84920.90,	93067.29,	31194.33,	56352.86,	73534.18,	84920.90,	93067.29,	3
261632.00,	261120.00,	260608.00,	260096.00,	259584.00,	261121.00,	260100.00,	259081.00,	258064.00,	257049.00,	261632.00,	261120.00,	260608.00,	260096.00,	259584.00,	261121.00,	260100.00,	259081.00,	258064.00,	257049.00,	0.09,	0.16,	0.21,	0.25,	0.28,	0.11,	0.19,	0.24,	0.28,	0.32,	0.07,	0.13,	0.18,	0.21,	0.24,	0.11,	0.19,	0.25,	0.29,	0.33,	0.50,	0.55,	0.64,	0.66,	0.70,	0.51,	0.63,	0.68,	0.68,	0.71,	0.50,	0.57,	0.62,	0.66,	0.68,	0.51,	0.64,	0.66,	0.68,	0.70,	0.10,	0.09,	0.08,	0.08,	0.07,	0.10,	0.08,	0.08,	0.07,	0.07,	0.11,	0.09,	0.09,	0.08,	0.08,	0.10,	0.08,	0.08,	0.07,	0.07,	0.96,	0.92,	0.90,	0.88,	0.86,	0.95,	0.91,	0.88,	0.87,	0.85,	0.96,	0.93,	0.91,	0.89,	0.88,	0.94,	0.90,	0.88,	0.86,	0.84,	-2706.00,	-5463.00,	-8479.00,	-11745.00,	-15693.00,	-1216.00,	-2719.00,	-4542.00,	-6445.00,	-8652.00,	1493.00,	3038.00,	4392.00,	5668.00,	7008.00,	4201.00,	8635.00,	13633.00,	19281.00,	25949.00,	22284.00,	41058.75,	54189.33,	63551.17,	70933.06,	22284.00,	41058.75,	54189.33,	63551.17,	70933.06,	22284.00,	41058.75,	54189.33,	63551.17,	70933.06,	22284.00,	41058.75,	54189.33,	63551.17,	70933.06,	3
261632.00,	261120.00,	260608.00,	260096.00,	259584.00,	261121.00,	260100.00,	259081.00,	258064.00,	257049.00,	261632.00,	261120.00,	260608.00,	260096.00,	259584.00,	261121.00,	260100.00,	259081.00,	258064.00,	257049.00,	0.06,	0.12,	0.16,	0.19,	0.22,	0.09,	0.16,	0.21,	0.26,	0.31,	0.05,	0.10,	0.14,	0.17,	0.20,	0.07,	0.13,	0.17,	0.20,	0.22,	0.53,	0.54,	0.59,	0.64,	0.69,	0.53,	0.61,	0.67,	0.70,	0.69,	0.53,	0.53,	0.60,	0.63,	0.66,	0.53,	0.55,	0.61,	0.65,	0.66,	0.12,	0.11,	0.10,	0.10,	0.09,	0.12,	0.10,	0.09,	0.09,	0.08,	0.12,	0.11,	0.11,	0.10,	0.10,	0.12,	0.11,	0.10,	0.09,	0.09,	0.97,	0.94,	0.92,	0.90,	0.89,	0.96,	0.92,	0.90,	0.87,	0.86,	0.97,	0.95,	0.93,	0.91,	0.90,	0.96,	0.94,	0.92,	0.90,	0.89,	-1279.00,	-2569.00,	-3870.00,	-5257.00,	-6896.00,	-3418.00,	-7040.00,	-11807.00,	-18566.00,	-27335.00,	-2144.00,	-4299.00,	-6590.00,	-9303.00,	-12620.00,	-865.00,	-1748.00,	-2720.00,	-3842.00,	-5320.00,	16085.00,	30293.25,	41300.50,	50034.25,	56957.00,	16085.00,	30293.25,	41300.50,	50034.25,	56957.00,	16085.00,	30293.25,	41300.50,	50034.25,	56957.00,	16085.00,	30293.25,	41300.50,	50034.25,	56957.00,	3
261632.00,	261120.00,	260608.00,	260096.00,	259584.00,	261121.00,	260100.00,	259081.00,	258064.00,	257049.00,	261632.00,	261120.00,	260608.00,	260096.00,	259584.00,	261121.00,	260100.00,	259081.00,	258064.00,	257049.00,	0.09,	0.16,	0.20,	0.24,	0.27,	0.11,	0.18,	0.23,	0.26,	0.29,	0.07,	0.13,	0.17,	0.21,	0.23,	0.11,	0.19,	0.24,	0.28,	0.31,	0.52,	0.57,	0.63,	0.65,	0.67,	0.54,	0.59,	0.61,	0.65,	0.66,	0.52,	0.55,	0.57,	0.63,	0.65,	0.53,	0.64,	0.67,	0.69,	0.69,	0.16,	0.14,	0.13,	0.12,	0.12,	0.16,	0.14,	0.12,	0.12,	0.11,	0.17,	0.15,	0.14,	0.13,	0.12,	0.16,	0.13,	0.12,	0.11,	0.11,	0.96,	0.92,	0.90,	0.88,	0.87,	0.95,	0.91,	0.89,	0.87,	0.86,	0.96,	0.93,	0.91,	0.90,	0.88,	0.94,	0.91,	0.88,	0.86,	0.85,	175.00,	351.00,	488.00,	424.00,	504.00,	-1632.00,	-3319.00,	-5185.00,	-7294.00,	-9524.00,	-1804.00,	-3598.00,	-5398.00,	-7342.00,	-9435.00,	-1978.00,	-3933.00,	-5869.00,	-8038.00,	-10532.00,	22661.00,	40996.50,	53143.75,	61609.00,	68444.25,	22661.00,	40996.50,	53143.75,	61609.00,	68444.25,	22661.00,	40996.50,	53143.75,	61609.00,	68444.25,	22661.00,	40996.50,	53143.75,	61609.00,	68444.25,	3
261632.00,	261120.00,	260608.00,	260096.00,	259584.00,	261121.00,	260100.00,	259081.00,	258064.00,	257049.00,	261632.00,	261120.00,	260608.00,	260096.00,	259584.00,	261121.00,	260100.00,	259081.00,	258064.00,	257049.00,	0.09,	0.17,	0.23,	0.28,	0.32,	0.11,	0.19,	0.24,	0.29,	0.33,	0.07,	0.13,	0.17,	0.21,	0.24,	0.12,	0.21,	0.27,	0.32,	0.37,	0.57,	0.62,	0.70,	0.70,	0.70,	0.57,	0.63,	0.70,	0.71,	0.74,	0.57,	0.58,	0.62,	0.68,	0.69,	0.57,	0.66,	0.70,	0.73,	0.75,	0.15,	0.13,	0.12,	0.11,	0.10,	0.15,	0.13,	0.11,	0.11,	0.10,	0.16,	0.14,	0.13,	0.12,	0.12,	0.15,	0.12,	0.11,	0.10,	0.09,	0.95,	0.91,	0.89,	0.87,	0.85,	0.94,	0.91,	0.88,	0.86,	0.84,	0.97,	0.94,	0.91,	0.90,	0.88,	0.94,	0.90,	0.87,	0.85,	0.83,	172.00,	189.00,	33.00,	-372.00,	-804.00,	-371.00,	-887.00,	-1405.00,	-2193.00,	-3351.00,	-549.00,	-1070.00,	-1576.00,	-2109.00,	-2762.00,	-717.00,	-1216.00,	-1464.00,	-1948.00,	-2778.00,	24314.00,	44600.50,	58916.08,	69355.50,	77664.19,	24314.00,	44600.50,	58916.08,	69355.50,	77664.19,	24314.00,	44600.50,	58916.08,	69355.50,	77664.19,	24314.00,	44600.50,	58916.08,	69355.50,	77664.19,	3
261632.00,	261120.00,	260608.00,	260096.00,	259584.00,	261121.00,	260100.00,	259081.00,	258064.00,	257049.00,	261632.00,	261120.00,	260608.00,	260096.00,	259584.00,	261121.00,	260100.00,	259081.00,	258064.00,	257049.00,	0.12,	0.22,	0.31,	0.38,	0.46,	0.15,	0.26,	0.35,	0.44,	0.54,	0.11,	0.22,	0.33,	0.43,	0.54,	0.17,	0.35,	0.52,	0.70,	0.89,	0.76,	0.88,	0.94,	0.96,	0.99,	0.82,	0.93,	0.97,	0.99,	1.00,	0.84,	0.96,	0.99,	0.99,	1.00,	0.90,	0.99,	1.00,	1.00,	1.00,	0.08,	0.07,	0.06,	0.05,	0.05,	0.07,	0.06,	0.06,	0.05,	0.05,	0.08,	0.07,	0.07,	0.06,	0.06,	0.07,	0.06,	0.06,	0.05,	0.05,	0.94,	0.89,	0.86,	0.84,	0.82,	0.93,	0.88,	0.85,	0.83,	0.81,	0.95,	0.91,	0.89,	0.87,	0.86,	0.92,	0.88,	0.85,	0.82,	0.80,	-2084.00,	-293.00,	8029.00,	24095.00,	48911.00,	-6229.00,	-22766.00,	-56933.00,	-112863.00,	-187506.00,	-9778.00,	-62831.00,	-173841.00,	-336082.00,	-532708.00,	-20944.00,	-143006.00,	-366095.00,	-655235.00,	-992084.00,	30740.50,	54636.80,	69855.81,	80101.75,	88218.72,	30778.50,	54690.80,	69913.81,	80154.75,	88259.72,	30767.50,	54682.80,	69911.81,	80160.75,	88271.72,	30787.50,	54701.80,	69925.81,	80169.75,	88280.72,	3
